breathe	breathes	breathing	breathed
invigorate	invigorates	invigorating	invigorated
reinvigorate	reinvigorates	reinvigorating	reinvigorated
smile	smiles	smiling	smiled
dimple	dimples	dimpling	dimpled
grin	grins	grinning	grinned
beam	beams	beaming	beamed
smirk	smirks	smirking	smirked
simper	simpers	simpering	simpered
fleer	fleers	fleering	fleered
bray	brays	braying	brayed
bellylaugh	bellylaughs	bellylaughing	bellylaughed
roar	roars	roaring	roared
howl	howls	howling	howled
snicker	snickers	snickering	snickered
snigger	sniggers	sniggering	sniggered
giggle	giggles	giggling	giggled
titter	titters	tittering	tittered
break	breaks	breaking	broke	broken
collapse	collapses	collapsing	collapsed
cramp	cramps	cramping	cramped
cackle	cackles	cackling	cackled
guffaw	guffaws	guffawing	guffawed
chuckle	chuckles	chuckling	chuckled
chortle	chortles	chortling	chortled
laugh	laughs	laughing	laughed
convulse	convulses	convulsing	convulsed
cachinnate	cachinnates	cachinnating	cachinnated
sneer	sneers	sneering	sneered
frown	frowns	frowning	frowned
glower	glowers	glowering	glowered
lour	lours	louring	loured
lower	lowers	lowering	lowered
glare	glares	glaring	glared
stare	stares	staring	stared
look	looks	looking	looked
scowl	scowls	scowling	scowled
shrug	shrugs	shrugging	shrugged
clap	claps	clapping	clapped
spat	spats	spatting	spatted
grimace	grimaces	grimacing	grimaced
pout	pouts	pouting	pouted
mop	mops	mopping	mopped
mow	mows	mowing	mowed	mown
hawk	hawks	hawking	hawked
shower	showers	showering	showered
foment	foments	fomenting	fomented
bathe	bathes	bathing	bathed
cleanse	cleanses	cleansing	cleansed
clean	cleans	cleaning	cleaned
wash	washes	washing	washed
scrub	scrubs	scrubbing	scrubbed
soap	soaps	soaping	soaped
lather	lathers	lathering	lathered
gargle	gargles	gargling	gargled
rinse	rinses	rinsing	rinsed
shave	shaves	shaving	shaved	shaven
epilate	epilates	epilating	epilated
depilate	depilates	depilating	depilated
razor	razors	razorring	razorred
tonsure	tonsures	tonsuring	tonsured
bath	baths	bathing	bathed
douche	douches	douching	douched
comb	combs	combing	combed
disentangle	disentangles	disentangling	disentangled
slick	slicks	slicking	slicked
dress	dresses	dressing	dressed
arrange	arranges	arranging	arranged
set	sets	setting	set
coif	coifs	coiffing	coiffed
coiffe	coiffes	coiffing	coiffed
coiffure	coiffures	coiffuring	coiffured
bob	bobs	bobbing	bobbed
pompadour	pompadours	pompadouring	pompadoured
marcel	marcels	marcelling	marcelled
wave	waves	waving	waved
gauffer	gauffers	gaufferring	gaufferred
goffer	goffers	goffering	goffered
perm	perms	perming	permed
mousse	mousses	moussing	moussed
gel	gels	gelling	gelled
pomade	pomades	pomading	pomaded
tease	teases	teasing	teased
fluff	fluffs	fluffing	fluffed
groom	grooms	grooming	groomed
neaten	neatens	neatening	neatened
highlight	highlights	highlighting	highlighted
lipstick	lipsticks	lipsticking	lipsticked
rouge	rouges	rouging	rouged
condition	conditions	conditioning	conditioned
flos	floss	flossing	flossed
shampoo	shampoos	shampooing	shampooed
powder	powders	powdering	powdered
